instructor,course_title,course_id,professor_score
"Russo, Anthony",Business Entity Taxation,16032,11.9
"Sunderland, Daniel","Corp Gov, Ethics, Fin Rpt",16034,10.4
"Miller, Christopher",Anlyzng Acct Data for Strt Dec,12873,-1.7
"Miller, Christopher",Anlyzng Acct Data for Strt Dec,12874,-2.6
"Sharafoddini, Anis",Spec Topics in Biotechnology,20784,0.0
"Mittal, Prashant",Exploring AI Trends and Tools,22275,0.0
"Bai, Jianqiu",Financial Management,17359,0.0
"Baskerville, Marla",Managing the Organization,12969,-2.1
"Baskerville, Marla",Managing the Organization,12966,1.5
"Meyer, Marc",Enterprise Growth  Innovation,18066,2.7
"Suarez, Fernando",Innovation Driven Strategy,18888,-3.5
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,15813,-3.0
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,15822,-0.6
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,15846,-1.5
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,21815,0.5
"Wertheim, Edward",Negotiations,21569,0.0
"Chan, Chee",Intro to Business Analytics,12637,0.9
"Ashley, Katherine",Intro to Business Analytics,16035,3.4
"Liu, Xiaoping",Data Mine/Machine Lrn for Bus,12871,-8.8
"Clark, Bruce",Cust Value  the Enterprise,12886,0.9
"Clark, Bruce",Cust Value  the Enterprise,12887,-0.9
"Spelsberg, sarah",Expedition  Wilderness Med,19957,-9.2
"Watkins, Elyse",Healthcare Leadership Seminar,16458,-3.1
"Watkins, Elyse",Healthcare Leadership Seminar,19949,3.9
"McCoy, Reginald",Healthcare Leadership Seminar,22285,1.4
"Bruce, Robert",Healthcare Leadership Seminar,22425,-1.3
"Ricks, Vance",Responsible AI,22266,0.0
"Capuzzo, Jenna",Princpls/Hist of Urban Health,17118,-3.0
"Maniar, Swapnil",Urban Community Health Assess,17120,3.2
"Murray, Robert",Managing Oprs  Supply Chain,12937,-0.1
"Murray, Robert",Managing Oprs  Supply Chain,12936,0.2
"Friar, John",Strat Mgmt for Healthcare Org,16039,9.9
"Kenyon, Arnold",Advocacy and the Arts,61849,0.0
"Zhang, Yue",Financl Accounting  Reporting,60603,-0.6
"Zhang, Yue",Financl Accounting  Reporting,61835,3.3
"Mello Codesso, Mauricio",Profit Analysis Manager Advis,60027,4.5
"Miller, Christopher",Profit Analysis Manager Advis,60026,0.6
"Glencross, John",Profit Analysis Manager Advis,60533,-10.9
"Moreno, Kimberly",Profit Analysis Manager Advis,61595,0.4
"Zullo, Ronald",Inc Tax Detrmnation  Planning,61083,1.0
"Williams, Christina",Internal Auditing,60640,1.7
"Goldman, William",Audit Big Data,60099,0.5
"Ruff, Michael",Corporate Fin Reporting 2,60668,2.1
"Ruff, Michael",Corporate Fin Reporting 2,61788,-2.1
"Sherman, H",Contmp Issues Accountng Theory,60095,-3.5
"Zullo, Ronald",Corporations  Shareholders,60196,-2.1
"Marino, Joanna",Partners  Partnerships,60197,-3.6
"Alessandri, Susan",Acct Research  Communication,60199,0.7
"Wamai, Richard",Introduction to Global Health,61594,-12.8
"Hayat, Sara",Buildings and Cities,60810,0.0
"Saldarriaga, Alejandro","Site, Space, Program",61029,-81.6
"Levine, Jonathan","Site, Space, Program",61779,-81.6
"Williams, Matthew",Introduction to Photography,60586,-9.1
"Williams, Matthew",Introduction to Photography,60587,-21.1
"Williams, Matthew",Photo Tools,60588,-15.1
"Williams, Matthew",Photo Tools,60589,-84.6
"Stewart, Brooke",Observational Drawing,60101,5.0
"Tien, Wen-hao",Conceptual Drawing,60590,4.1
"Green, Jesse",Color and Composition,60171,-0.7
"Thorne, Jamal",Experience and Interaction,60498,-19.1
"Gururaj, Babuaravind",Experience  Interaction Tools,61170,-57.6
"Scott, Douglass",Information Design Principles,61619,7.4
"Ebarb, Sebastian",Graphic Design Principles,60500,0.6
"Geofrey, Steven",Prototyping with Code,61620,10.1
"Geofrey, Steven",Lab for ARTG 2262,61621,10.4
"Scott, Douglass",History of Graphic Design,60756,6.2
"Yaseen, Mohammad",Bioelectricity,60750,1.6
"Grindle, Daniel",Capstone Design 1,60331,2.2
"Wang, Lei",Capstone Design 1,60331,-3.9
"Jaeggli, Michael",Capstone Design 1,60331,-4.7
