instructor,course_title,course_id,professor_score
"Platt, Marjorie",Anlyzng Acct Data for Strt Dec,15125,2.5
"Platt, Marjorie",Anlyzng Acct Data for Strt Dec,15126,-2.4
"Murphy, Caroline",Business Models Game Industry,18983,0.0
"Baskerville, Marla",Managing the Organization,15334,2.3
"Baskerville, Marla",Managing the Organization,15331,-1.7
"Wertheim, Edward",Negotiations,10742,0.0
"Slusser, James",Managing Information Resources,11941,0.0
"Chan, Chee",Intro to Business Analytics,14464,7.3
"Liu, Xiaoping",Data Mine/Machine Lrn for Bus,15122,-4.8
"Collier, Gregory",Mktg and Selling Innovation,14209,-0.4
"Clark, Bruce",Cust Value & the Enterprise,15168,-0.2
"Clark, Bruce",Cust Value & the Enterprise,15169,0.3
"Murray, Robert",Managing Oprs & Supply Chain,15251,-2.8
"Murray, Robert",Managing Oprs & Supply Chain,15250,1.9
"O'Kelly, Peggy",Financl Accounting  Reporting,60042,5.0
"Russo, Anthony",Managerial Accounting,60041,-4.6
"Sunderland, Daniel",Managerial Accounting,60040,2.4
"Zullo, Ronald",Inc Tax Detrmnation  Planning,60722,-7.2
"O'Kelly, Peggy",Fin Report for Multinat Ent,60112,0.6
"Goldman, William",Audit Big Data,60134,4.9
"Bowers, Michael",Fin Reporting Gov/Non Profits,60131,-8.4
"Williams, Christina","Corp Gov, Ethics, Fin Rpt",60135,-6.1
"Zhang, Yue",Corporate Fin Reporting 2,60123,2.7
"Sherman, H",Contmp Issues Accountng Theory,60122,3.1
"Zullo, Ronald",Corporations  Shareholders,60300,-3.0
"Rupert, Timothy",Partners  Partnerships,60301,6.0
"Gagnon, Timothy",Ethics in Accounting Professn,60307,7.6
"Alessandri, Susan",Acct Research  Communication,60304,1.3
"Bournazian, Alma",Elementary ASL 2,61136,-3.1
"Levy, Benjamin",Global Markets  Local Culture,61120,14.2
"Greitzer, Andrea",Photo Basics for Nonmajors,60156,-12.7
"Brens, Luis",Photo Basics for Nonmajors,60265,1.7
"Borgstrom, Skylar",Observational Drawing,60138,-3.6
"Thorne, Jamal",2D Fundtls: Surface/Drawing,60263,-0.3
"Hechtman, Julia",4D Fundtls: Sequence/Drawing,61143,-2.3
"Rodriguez, Allison",4D Tools,61144,0.3
"Terrado, Kate",Design Process Context/Systems,60541,1.2
"Kane, John",Typography 1,60781,0.7
"Linkner, Todd",Type Tools,60807,3.1
"Smith, Daryl",Typography 2,60010,4.3
"Laughlin, Mark",Typography 2,61316,0.3
"Terrado, Kate",Inf Vis Principles  Practices,61337,-1.6
"Terrado, Kate",Info Dsgn Critique Seminar,61338,-2.2
"Hatfield, Stephen",Cell and Molecular Biology,60537,-7.7
"Tilly, Jonathan",Clinical Embryology II,61252,1.0
"Auclair, Jared",Cellular Therapies,61334,0.2
"Mello Codesso, Mauricio",Business Analytics,61209,0.0
"Hamilton, Tessa",Clin Skills in Counsel Psych,60147,0.0
"Aparece, Mark",Organic Chemistry 2,60024,0.0
"Satvat, Behrooz",Chemical Engr Thermodynamics 1,60029,2.0
"Satvat, Behrooz",Chemical Engr Thermodynamics 1,61139,3.6
"Willey, Ronald",Chemical Engineering Kinetics,60714,-4.5
"Ekenseair, Adam",Design 1: Process Analysis,61140,6.3
"Shillaber, Craig",Geotechnical Engineering,60055,0.0
"Ozdemir, Ugurcan",Lab for CIVE 2340,60054,-0.5
"Ozdemir, Ugurcan",Lab for CIVE 2340,61293,2.1
"Ozdemir, Ugurcan",Lab for CIVE 2340,60514,-3.2
"Furth, Peter",Sustain Transport: Netherlands,60515,-57.9
"Rosenblum, Jeffrey",Sustain Transport Netherlands,60280,-4.9
"Touran, Ali",Construction Management,60030,-2.8
"Eckelman, Matthew",Special Topics in Civil Engr,61354,4.9
"Granelli, Steven",Intro Communication Studies,60016,4.3
"Weickum, Nikki",Public Speaking,60279,5.1
"Weickum, Nikki",Business/Professional Speaking,60725,2.5
"Van Gilder, Bobbi",Sex  Relationships,60302,-0.5
"Glowacki, Elizabeth",Communication Theory,61108,-0.4
