Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…
"Russo, Anthony",Business Entity Taxation,01,16032,0.5,0.6,0.9,0.5,0.5,0.5,1.0,0.5,0.4,0.5,0.6,0.9,1.0,1.0,0.6,0.3,0.4,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunderland, Daniel","Corp Gov, Ethics, Fin Rpt",02,16034,0.5,0.8,1.1,0.2,0.5,0.5,0.6,0.4,0.3,0.4,0.5,0.8,0.9,0.9,0.5,0.2,0.3,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Christopher",Anlyzng Acct Data for Strt Dec,01,12873,-0.1,-0.2,-0.3,0.0,0.1,0.0,-0.1,0.0,0.1,0.0,-0.1,-0.1,-0.2,-0.3,-0.2,0.0,-0.1,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Christopher",Anlyzng Acct Data for Strt Dec,02,12874,-0.2,-0.2,-0.4,-0.1,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,0.0,0.0,-0.1,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharafoddini, Anis",Spec Topics in Biotechnology,04,20784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mittal, Prashant",Exploring AI Trends and Tools,01,22275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bai, Jianqiu",Financial Management,04,17359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baskerville, Marla",Managing the Organization,01,12969,0.0,0.0,0.0,0.1,0.0,0.0,-0.3,0.2,-0.2,0.0,-0.1,-0.2,-0.2,-0.3,-0.2,-0.3,-0.4,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baskerville, Marla",Managing the Organization,02,12966,-0.1,-0.1,-0.1,-0.1,0.0,0.1,0.2,-0.2,0.0,0.0,0.0,0.1,0.3,0.3,0.2,0.2,0.3,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meyer, Marc",Enterprise Growth  Innovation,04,18066,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.3,0.1,0.1,0.1,0.0,0.4,0.4,0.3,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suarez, Fernando",Innovation Driven Strategy,03,18888,0.0,-0.2,-0.2,-0.2,-0.2,-0.1,-0.3,-0.2,-0.2,-0.1,-0.1,-0.1,0.0,-0.4,-0.5,-0.3,-0.2,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,01,15813,0.0,0.1,0.0,0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.4,-0.3,-0.2,-0.2,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,02,15822,0.2,0.1,-0.1,-0.1,0.1,0.2,-0.1,-0.1,0.1,-0.1,-0.1,0.0,0.0,-0.2,-0.1,-0.2,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,03,15846,-0.3,-0.5,-0.3,-0.2,-0.3,0.0,-0.1,0.2,0.1,-0.2,0.0,0.0,0.0,0.0,-0.2,0.2,0.2,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchiori Pacheco, Larissa",Bus Dec Mkng in Dev Cntry Envn,04,21815,-0.1,-0.2,0.0,0.2,0.2,0.0,0.0,0.1,-0.1,0.0,0.2,0.1,0.1,0.0,0.1,-0.1,-0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
