Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…,The work we did in the laboratory course helped me to perform…,The work we did in the lecture course helped me to perform be…,The undergraduate teaching fellow (undergraduate teaching a…,If this course had teaching assistants that held regular office h…,I was able to follow the pace of the lecture and understood the…,The grading of quizzes and case studies was fair.,I felt comfortable to ask questions. I felt comfortable to voice cr…,The real-life anecdotes and hands-on experience and insights…
"Miller, Christopher",Anlyzng Acct Data for Strt Dec,01,13253,0.1,0.0,0.2,0.3,0.1,0.1,0.3,0.4,0.0,0.2,0.3,0.4,0.5,0.3,0.2,0.1,0.2,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Christopher",Anlyzng Acct Data for Strt Dec,02,13254,0.0,-0.1,-0.2,-0.2,-0.1,-0.2,-0.4,-0.4,-0.1,-0.2,-0.2,-0.4,-0.5,-0.4,-0.2,-0.1,-0.3,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhanot, Haymanti",Molec Cell Biology for Biotech,03,20251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jehi, Sanaa",Protein Principles in Biotech,04,20968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medeiros, Jessica",Career Management,01,11671,0.2,0.3,0.4,0.1,0.3,0.2,0.4,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antonelli, Susan",Career Management,01,11671,0.2,0.3,0.4,0.1,0.3,0.2,0.4,0.2,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gogia, Aashima",Career Management,02,14809,-0.3,-0.7,-0.5,-0.1,-0.3,-0.2,-0.4,-0.4,-0.5,-0.2,-0.2,-0.1,-0.3,-0.3,-0.1,0.0,-0.2,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medeiros, Jessica",Career Management,02,14809,-0.3,-0.7,-0.5,-0.1,-0.3,-0.2,-0.4,-0.4,-0.5,-0.2,-0.3,-0.2,-0.3,-0.4,-0.4,-0.3,-0.4,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medeiros, Jessica",Career Management,04,16056,0.0,0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.2,0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chezar, Timothy",Career Management,04,16056,0.0,0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
