First Name,Last Name,ID,Department,Institution Name,Institution ID,Number of Ratings,Average Rating (Out of 5),Would Take Again (Percent),Level of Difficulty (Out of 5),Popular Tags
Anand, Asthagiri,2894891,Biomedical,Northeastern University,696,1.0,5.0,1.0,3.0,"['Amazing lectures', 'Inspirational', 'Accessible outside class']"
Jelena, Golubovic,2961788,Anthropology,Northeastern University,696,0.0,,,,[]
Faizul , Huq,2854044,Business,Northeastern University,696,7.0,2.6,0.43,4.0,"['Tough grader', 'Participation matters', 'Group projects', 'Amazing lectures', 'Inspirational']"
Juyi, Lyu,2999528,Business,Northeastern University,696,0.0,,,,['Accessible outside class']
Markysha , Martin,2922383,Psychology,Northeastern University,696,0.0,,,,[]
sakib, miazi,2989886,Computer Science,Northeastern University,696,1.0,1.0,0.0,4.0,"['Group projects', 'Lots of homework', 'Lecture heavy']"
Olakunle,Abawonse,2917772,Mathematics,Northeastern University,696,0.0,,,,[]
Mohammad,Abderrazzaq,1268571,Arabic,Northeastern University,696,20.0,4.5,1.0,2.7,"['Respected', 'Caring', 'Amazing lectures', 'Would take again', 'Inspirational']"
Mehdi,Abedi,2162443,Engineering,Northeastern University,696,21.0,3.5,0.62,3.9,"['Get ready to read', 'Hilarious', 'Lots of homework', 'Tough grader', 'Respected']"
Joshua,Abel,2957067,Economics,Northeastern University,696,7.0,5.0,1.0,3.4,"['Amazing lectures', 'Gives good feedback', 'Accessible outside class', 'Lecture heavy', 'Clear grading criteria']"
Margot,Abels,2529082,Women's Studies,Northeastern University,696,12.0,4.0,0.75,2.8,"['Participation matters', 'Get ready to read', 'Tough grader', 'Amazing lectures', 'Caring']"
Stephen,Abeyta,2918124,Criminal Justice,Northeastern University,696,0.0,,,,[]
Sahar,Abi Hassan Abdul Samad,3000323,Political Science,Northeastern University,696,1.0,5.0,1.0,4.0,"['Tough grader', 'Get ready to read', 'So many papers']"
Emad,Aboelela,2546624,Electrical Engineering,Northeastern University,696,10.0,4.0,0.8,2.5,"['Participation matters', 'EXTRA CREDIT', 'Clear grading criteria', 'Amazing lectures', 'Inspirational']"
